Row,i01.a,i01.b,i01.c,i01.d,i01.e,i01.f,i01.g,i01.h,i01.i,i01.j,i01.k,i01.l,i01.m,i01.n,i01.o,i01.w.1,i01.w.2,i02,i05,i10,i11.a,i11.b,i11.c,i12,i13.1,i13.20.11,i13.20.12,i13.20.13,i13.20.14,i13.20.15,i13.20.16,i14.1,i14.2,i14.3,i15.a,i15.b,i15.c,i15.d,i15.e,i15.f,i15.g,i15.h,i15.i,i15.j,i15.k,i16,i17,i18,i19,i20,i20.w,i21.1,i21.w.1,i21.2,i22,i23.1,i23.2,i23.3,i24.a,i24.a.w,i24.b,i24.c,i24.d,i25,i26.a,i26.a.w,i26.b,i26.c,i26.d,i26.d.w,i26.e,i27.a,i27.a.w,i27.41,i27.41.w,i27.42,i27.42.w,i27.43,i27.43.w,i27.44,i27.44.w,i27.45,i27.45.w,i27.5,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i37.w.1,i40.11.a,i40.11.b,i40.11.c,i40.11.d,i40.11.e,i40.11.f,i40.11.g,i40.11.h,i40.11.i,i40.11.j,i40.11.k,i40.11.l,i40.12,i40.13,i40.2,i40.3,i41,i45,i45.w,i50.a,i50.b,i51,i52,i55,i60.1,i60.2,i60.3,i61.1,i61.2,i62,i63,i64,i65,i66,i67,i70,i71,i72,i73,i74,i75,i80,i85,i90.1.a,i90.1.b,i90.1.c,i90.1.d,i90.1.e,i90.1.f,i90.1.g,i90.2.a,i90.2.b,i90.2.c,i90.3.a,i90.3.b,i90.4.a,i90.4.b,i90.5.a,i90.5.b,i90.5.c,i90.5.d,i90.5.e,i90.5.f,i91,i92,i93,i95,i99,m01
p26.e,96.69,10.19,72.59,10.75,87.30,91.17,53.89,72.24,16.33,13.97,2.91,8.52,13.68,15.29,77.27,97.88,92.73,0.43,43.52,46.93,27.57,27.17,67.54,21.51,98.45,54.08,46.68,40.89,99.54,13.23,86.38,47.71,22.76,90.17,84.78,72.81,23.63,44.14,59.06,13.18,69.22,57.39,4.85,7.08,61.78,30.36,95.53,95.50,63.90,72.11,77.28,33.02,42.24,26.56,51.63,18.25,0.20,41.94,94.64,0.33,10.80,44.76,76.37,96.91,14.55,9.68,16.77,96.30,38.58,4.56,39.13,28.05,45.63,86.45,28.14,29.33,45.06,87.35,10.36,53.80,73.01,65.21,27.96,78.02,6.76,78.93,9.82,2.68,14.69,17.43,22.67,80.17,89.19,94.01,84.41,1.36,28.71,63.10,49.65,14.35,99.86,81.50,81.39,63.49,92.78,22.40,93.75,15.53,61.06,2.25,68.21,87.89,23.79,39.47,94.19,95.67,18.01,19.04,7.87,73.35,96.16,62.49,77.94,36.25,31.05,82.28,67.48,70.53,91.30,57.80,66.78,19.70,95.55,11.73,64.45,3.26,81.71,82.77,39.54,62.94,96.52,12.95,39.85,67.67,71.13,93.98,97.54,51.98,44.10,88.34,11.07,31.02,73.69,51.69,61.35,8.06,31.48,35.62,24.31,52.54,5.90,93.17,97.23,25.16
p27.a,28.76,28.69,11.57,24.37,96.80,67.08,30.39,44.86,82.14,5.47,3.16,65.52,47.86,75.43,95.10,24.07,6.86,92.45,23.16,0.61,62.75,8.34,98.29,20.35,84.92,19.82,95.04,56.78,55.34,69.50,62.89,87.38,6.26,26.48,27.89,8.92,37.70,62.76,4.56,96.48,77.23,36.15,98.78,53.10,26.26,37.65,53.54,86.12,28.23,2.40,66.30,69.49,11.37,17.38,58.70,69.46,43.85,60.17,67.97,44.25,61.76,41.73,71.75,93.30,48.61,88.97,92.39,7.44,1.35,49.46,28.90,44.05,41.50,6.99,94.91,43.72,85.75,33.35,79.68,58.65,63.42,72.40,62.22,53.15,37.31,43.63,48.78,63.86,44.49,42.07,72.12,30.25,16.41,99.93,77.63,33.07,95.03,32.46,22.76,20.44,83.97,46.71,51.79,54.52,38.82,46.85,10.17,94.52,60.89,9.19,96.73,54.50,92.90,46.10,69.16,23.26,67.32,21.51,53.02,90.56,35.74,37.96,16.64,97.27,53.62,56.81,90.93,3.35,76.90,50.96,56.35,61.66,21.34,18.57,67.28,57.69,31.00,80.31,25.15,97.59,77.29,65.11,51.70,67.80,91.95,17.86,49.03,12.49,34.22,44.75,73.75,41.16,80.93,78.43,52.69,40.34,63.57,32.08,26.35,29.70,17.30,97.30,12.28,79.87
p27.a.w,86.79,48.88,51.76,55.22,14.80,76.02,73.21,73.13,87.31,42.60,51.35,58.23,99.87,61.02,23.01,29.41,22.38,67.09,26.82,89.22,37.47,56.12,91.14,89.83,1.96,40.12,86.92,79.90,63.89,31.88,90.27,44.48,3.80,49.75,97.92,45.11,19.67,3.14,6.10,26.47,72.91,14.45,97.68,91.13,50.83,51.32,24.86,25.10,51.59,12.66,76.50,34.06,8.77,96.41,76.41,62.05,72.22,10.53,34.13,98.34,34.46,50.46,78.44,86.77,1.52,43.64,46.15,89.02,7.22,10.97,40.93,41.55,58.92,0.65,99.07,63.38,72.94,76.77,70.00,60.80,93.14,55.05,46.72,8.01,25.77,42.94,23.90,25.22,71.26,63.43,14.76,96.05,80.67,50.12,75.74,27.53,34.06,24.24,37.24,22.16,94.31,18.10,77.61,23.24,57.88,62.62,2.25,90.07,77.20,20.18,26.98,23.63,46.64,37.90,68.30,14.15,73.64,18.84,14.38,89.34,44.49,20.39,49.04,56.34,32.37,21.19,45.11,66.15,1.68,87.81,9.61,80.14,13.70,21.90,13.39,20.96,75.19,49.55,52.94,72.26,70.92,59.94,34.17,28.08,6.99,70.06,28.32,25.64,38.33,79.13,33.84,3.33,65.47,36.72,93.95,54.80,16.10,0.24,63.47,44.02,90.73,94.53,15.35,95.76
p27.41,84.30,94.66,53.29,28.72,53.00,70.48,65.23,50.11,65.61,72.38,63.95,20.05,67.46,47.78,40.40,57.12,91.97,94.26,13.74,36.91,58.70,39.77,99.57,56.82,49.90,35.20,80.94,36.00,8.75,83.28,10.29,76.09,94.31,72.60,60.33,76.04,33.64,35.69,77.71,62.61,59.36,20.16,73.58,46.16,63.87,10.22,98.17,1.36,59.02,3.92,81.88,96.20,32.16,21.18,36.54,13.46,77.30,97.81,96.48,62.52,68.82,22.05,26.35,93.70,90.78,25.70,38.12,6.28,16.73,83.35,19.56,79.14,14.81,62.09,36.93,88.52,89.17,46.75,84.31,36.25,64.26,78.27,51.65,49.23,68.81,16.02,24.90,69.07,35.89,9.67,69.18,1.66,83.59,32.48,62.77,32.34,88.46,58.05,33.76,19.20,90.51,6.60,28.36,9.25,94.41,78.35,93.80,88.97,11.30,74.22,67.75,27.72,60.28,71.53,72.60,85.42,38.93,37.95,75.68,68.05,32.58,48.45,40.81,3.22,44.31,21.24,32.45,81.15,34.56,72.59,24.04,24.18,95.31,43.54,49.84,51.78,54.55,8.23,16.40,31.22,11.43,20.22,65.52,7.16,37.99,20.52,56.34,66.06,2.02,68.43,43.67,96.17,6.29,27.24,55.49,64.54,32.70,7.32,35.12,27.90,25.10,88.90,57.21,35.07
p27.41.w,16.81,18.37,66.27,56.53,68.14,53.63,99.81,78.72,38.14,80.05,72.35,63.73,54.82,1.86,19.83,40.07,57.60,37.70,43.84,11.52,43.94,6.43,41.79,31.04,87.98,23.93,21.90,31.04,82.33,97.57,99.62,55.54,65.21,28.02,37.00,54.03,16.30,43.08,17.00,41.48,0.91,96.66,23.58,90.98,55.36,96.57,59.14,23.99,5.75,95.79,24.88,77.53,93.75,13.34,13.34,7.23,74.39,36.47,38.16,76.05,6.45,77.40,43.52,0.12,82.01,43.82,36.72,92.43,88.88,51.90,20.66,89.69,92.13,98.77,83.15,34.26,33.68,11.71,29.62,30.34,14.97,89.48,14.81,67.54,48.12,83.07,91.46,19.59,46.78,10.39,86.40,58.45,94.55,89.50,19.86,68.15,92.02,62.93,58.74,45.83,84.58,26.91,95.79,3.77,10.04,48.13,51.77,59.46,70.57,72.71,27.60,79.36,14.24,99.74,14.57,76.95,18.02,84.76,19.48,1.70,40.02,97.54,35.81,27.17,60.11,84.65,5.09,13.08,52.35,48.84,99.83,82.08,19.47,39.83,10.34,81.50,23.94,56.68,87.51,77.97,55.21,73.07,49.97,41.36,26.88,14.76,65.40,88.40,47.08,43.05,0.33,68.63,34.63,64.76,52.32,33.83,51.52,94.96,93.27,71.21,47.52,72.30,31.41,53.79
p27.42,96.80,34.40,89.29,38.28,89.94,50.39,90.57,80.01,63.27,27.40,4.45,78.26,10.92,10.26,78.57,46.82,79.78,85.79,0.59,44.86,8.25,3.21,36.40,30.83,29.34,7.69,10.06,23.23,58.78,68.45,33.24,30.86,73.93,3.33,9.02,5.48,66.80,29.84,23.22,15.72,26.62,41.11,82.13,4.77,36.39,17.79,44.76,90.47,96.82,4.94,1.71,20.92,72.94,82.37,36.01,42.68,88.17,11.04,29.11,85.17,34.91,2.17,78.96,20.37,65.70,61.65,11.83,75.30,22.42,12.52,1.48,17.58,7.96,92.22,54.29,2.49,86.73,2.70,89.50,87.31,79.50,70.78,69.92,87.88,31.83,58.39,64.41,0.25,31.62,96.17,17.88,64.16,37.89,57.59,18.52,36.26,73.86,13.82,26.92,0.69,22.16,37.14,7.26,80.14,20.22,91.41,48.87,97.96,72.80,77.82,70.98,28.37,23.04,11.07,60.49,78.61,36.71,1.04,60.42,27.11,1.49,65.25,7.88,1.41,40.96,27.78,1.58,95.68,82.60,13.05,97.62,16.49,98.28,99.33,23.55,80.48,58.69,33.15,18.78,76.73,98.04,1.32,6.52,77.97,59.36,55.01,50.03,80.17,3.74,47.74,59.31,19.67,43.28,34.29,70.64,7.84,11.40,14.66,12.54,50.22,8.69,35.96,8.22,12.35
p27.42.w,23.30,91.14,47.79,46.26,6.80,24.76,45.59,12.33,97.47,16.33,91.42,47.53,44.50,0.74,61.41,33.42,75.90,17.41,41.69,67.17,80.64,92.00,79.78,57.41,44.07,89.34,3.15,41.69,76.86,45.75,52.44,40.83,64.62,68.81,64.19,34.78,54.29,95.90,95.70,89.33,40.54,89.29,90.12,69.23,17.88,7.04,50.44,52.57,90.86,15.89,35.26,88.15,63.79,34.91,48.28,22.61,67.03,24.58,32.90,34.28,60.87,9.97,42.72,40.51,5.92,25.58,97.16,90.87,72.35,98.08,71.19,81.67,18.89,83.68,14.16,61.87,74.58,75.21,52.74,96.66,42.35,65.60,24.19,8.52,21.77,19.71,45.75,39.98,82.97,12.28,68.47,81.98,81.48,29.90,93.90,22.06,41.67,15.16,68.08,89.32,59.78,20.36,10.47,96.82,49.47,53.66,80.42,86.22,17.66,25.64,65.21,56.33,28.95,79.55,98.40,59.69,46.44,20.13,65.90,9.06,43.79,1.07,14.82,47.84,6.70,32.58,13.29,26.31,93.15,56.92,62.46,8.69,18.33,68.34,51.46,59.09,80.33,55.98,69.67,11.97,34.79,81.30,16.19,47.44,61.77,86.54,3.63,40.55,33.38,35.73,2.24,82.71,99.26,18.10,18.28,75.99,60.69,73.73,41.30,80.34,35.23,66.86,15.60,39.32
p27.43,7.60,85.44,27.03,31.99,48.86,93.79,25.91,78.64,59.76,91.58,50.44,94.59,25.24,38.46,85.82,39.71,50.79,65.60,90.41,7.71,87.61,33.66,26.33,28.80,59.56,39.66,59.52,72.31,92.31,11.27,0.31,38.79,26.05,62.73,79.55,95.80,8.97,90.78,63.10,9.41,49.02,81.61,4.79,84.21,40.87,94.17,0.93,81.04,23.60,29.53,44.74,85.52,98.42,56.72,41.68,83.45,86.04,82.98,43.67,71.02,16.39,57.65,4.31,27.77,99.03,34.35,61.91,76.74,31.73,38.73,19.00,17.98,82.66,62.15,58.68,41.30,67.59,22.51,93.54,99.14,62.02,96.64,32.99,68.18,81.40,73.71,17.15,82.22,74.35,84.40,49.15,64.93,20.40,12.37,70.08,79.54,50.33,72.47,31.86,33.05,97.96,45.93,58.99,41.01,35.95,74.82,92.00,39.86,47.70,68.84,18.41,23.82,70.86,36.61,42.74,27.37,97.23,36.22,67.70,41.00,58.72,94.80,11.44,13.37,86.48,7.67,32.51,85.73,80.11,4.41,60.02,59.58,55.02,12.62,43.99,8.84,74.47,90.69,0.97,48.02,38.32,45.79,83.00,99.26,72.09,79.01,93.90,75.73,41.14,42.58,77.19,58.27,64.64,75.97,22.96,0.61,7.70,28.32,40.82,64.95,2.86,76.51,67.19,44.82
p27.43.w,1.50,48.53,83.48,1.19,85.12,71.21,94.35,39.81,50.79,1.98,95.16,59.25,90.61,77.90,95.43,14.37,19.69,32.72,78.44,87.21,43.37,53.81,2.61,54.14,58.14,41.72,46.18,5.71,16.71,62.91,41.61,59.04,98.34,65.46,39.38,20.28,9.73,90.20,99.97,74.16,99.74,1.88,98.98,4.45,51.13,30.73,0.31,63.58,10.56,6.37,86.66,89.76,91.62,30.98,50.23,94.21,80.05,59.85,92.93,16.33,88.39,1.23,40.76,83.55,19.22,56.42,28.71,87.54,27.19,67.95,46.01,2.94,10.47,64.45,1.77,86.99,92.17,85.60,59.40,96.48,9.26,85.63,83.86,15.91,59.84,31.24,24.57,19.51,56.43,21.02,43.36,16.84,6.29,2.11,58.21,71.76,43.31,51.38,8.99,48.67,55.54,93.93,40.45,62.62,24.91,13.07,85.98,41.70,29.56,93.37,67.91,46.05,87.36,97.12,33.64,80.90,39.02,18.08,21.88,20.05,78.99,23.84,51.18,87.67,92.09,8.54,71.55,52.85,70.91,43.29,62.27,31.41,1.34,85.49,87.03,79.58,82.32,67.97,93.82,41.50,29.73,54.53,87.97,29.65,83.70,26.70,47.28,15.41,4.09,52.31,82.88,39.03,87.65,24.34,33.75,31.31,24.94,35.01,69.04,58.32,66.01,5.13,29.18,44.23
p27.44,86.37,36.65,19.72,6.80,65.33,31.14,95.71,13.42,36.35,93.59,86.67,3.16,73.60,91.62,3.62,59.66,49.62,89.43,19.72,95.00,95.11,62.34,87.54,51.08,62.97,95.30,38.18,4.68,61.92,11.72,47.54,5.95,40.89,46.37,0.44,57.61,43.25,46.29,54.19,48.31,85.48,72.20,93.15,55.89,95.31,4.54,45.33,90.55,50.86,26.45,99.27,80.73,95.28,18.47,94.39,55.64,4.84,89.37,80.93,75.40,88.81,44.99,61.11,34.89,38.63,16.52,79.88,49.74,76.04,73.12,80.96,38.87,4.26,45.17,38.12,71.71,86.09,76.86,47.94,82.78,82.67,18.73,80.41,13.29,18.00,67.27,42.04,95.69,61.39,12.36,14.75,64.49,26.08,68.46,55.07,21.15,63.86,70.67,98.58,60.23,69.51,55.00,23.96,18.62,33.89,81.00,36.73,73.29,36.69,92.46,39.13,62.02,79.23,86.22,99.91,58.29,82.80,56.67,50.42,7.76,0.54,12.37,51.70,36.38,62.97,24.11,15.97,96.42,78.32,41.95,13.23,21.64,99.33,47.68,43.54,66.43,69.19,80.66,61.97,17.68,28.82,92.02,83.40,29.40,35.01,35.56,53.48,74.48,59.19,73.42,69.58,52.19,8.94,60.46,55.49,65.40,31.61,14.90,11.39,18.00,79.56,56.32,58.83,93.45
p27.44.w,15.83,10.28,14.75,46.79,4.54,39.54,95.24,34.31,75.72,72.41,74.43,58.12,50.11,56.31,98.93,78.69,25.83,28.69,65.04,7.23,40.52,10.39,14.80,56.37,15.17,10.93,91.25,76.64,0.53,72.42,60.24,2.28,1.05,6.91,29.65,69.35,26.08,87.35,67.15,2.60,44.56,24.74,61.91,35.78,78.56,36.52,41.38,29.70,68.71,49.18,38.04,33.71,37.04,56.13,16.04,50.96,62.71,1.26,75.95,71.49,21.03,86.27,87.11,70.56,11.38,82.50,42.28,81.18,98.06,85.73,86.26,90.16,21.77,20.16,29.73,45.72,64.10,46.76,91.87,39.73,35.79,41.38,31.58,56.49,51.32,68.42,38.91,88.78,59.43,1.82,33.19,99.18,54.88,83.46,86.18,33.04,19.12,82.38,98.53,27.09,40.72,32.85,95.53,48.38,12.25,97.71,28.80,68.15,99.01,21.40,47.51,62.55,84.71,21.31,31.18,5.93,92.87,12.11,27.09,83.27,73.61,54.66,2.06,32.14,17.20,47.93,62.84,52.12,49.72,78.77,82.97,14.58,41.06,62.51,74.34,81.64,74.80,86.19,0.90,97.66,65.02,2.97,51.80,88.91,41.36,65.05,58.47,60.15,59.07,65.23,62.69,89.46,50.86,50.90,17.63,26.79,28.76,68.56,5.88,19.98,8.83,61.57,13.44,38.61
p27.45,52.59,18.97,81.28,69.63,65.25,0.21,85.92,1.03,26.31,53.24,58.20,63.40,76.72,67.83,59.43,94.65,30.16,89.71,11.62,99.32,1.00,34.80,73.50,4.99,41.06,67.72,91.61,9.40,37.62,50.79,18.57,4.74,88.16,50.09,14.71,3.46,25.28,35.85,78.68,54.14,48.60,44.27,5.30,83.27,80.09,77.92,45.70,14.99,76.95,16.06,55.16,77.56,95.55,38.10,8.09,28.48,51.22,19.76,52.25,37.54,10.87,64.99,9.88,8.10,40.57,98.15,35.76,58.86,91.14,12.07,1.42,88.50,11.97,54.31,71.23,69.73,6.04,44.37,70.74,24.13,23.35,54.87,52.43,84.06,11.27,20.19,9.92,56.06,37.84,75.34,85.72,85.65,48.00,92.91,11.53,58.24,31.58,95.93,61.67,30.24,31.07,53.10,20.99,30.68,13.51,71.45,88.40,41.69,21.72,61.52,98.72,19.86,16.85,26.99,90.83,35.64,90.45,62.69,75.64,63.68,23.82,12.69,9.99,2.11,75.13,44.29,99.12,80.84,42.78,37.72,24.03,82.65,92.56,72.19,32.63,79.95,52.41,59.56,75.39,98.16,25.34,41.98,72.07,40.65,52.51,32.78,76.73,19.53,41.78,26.83,49.50,7.73,73.81,70.64,36.50,22.06,83.65,38.73,55.10,72.58,93.74,17.20,57.51,89.03
p27.45.w,97.99,61.56,13.72,23.46,21.14,4.26,37.49,88.79,61.77,79.27,64.80,1.94,85.46,46.38,27.32,99.20,2.70,94.10,6.13,85.34,87.15,21.08,27.15,12.21,42.55,50.75,69.24,0.49,85.57,83.55,50.18,91.00,47.47,91.18,26.55,6.23,25.14,48.40,90.60,7.69,0.03,18.79,79.26,43.14,98.96,13.06,97.76,51.93,25.20,12.93,1.53,33.18,78.76,92.21,69.29,55.45,41.39,28.52,0.08,28.34,58.24,82.50,96.08,94.73,89.20,61.08,19.56,63.92,15.82,14.40,14.78,33.07,18.29,32.39,76.96,22.80,79.15,71.59,44.73,22.31,14.37,18.35,52.01,8.24,63.78,14.78,54.08,10.96,69.58,19.81,38.82,18.02,3.04,80.27,24.92,44.80,96.55,54.47,97.47,41.49,46.58,50.37,39.53,79.01,51.86,0.53,73.58,19.55,74.72,13.91,17.26,97.75,80.63,8.94,46.89,43.34,60.18,32.78,70.95,81.85,45.17,37.84,93.77,7.60,28.55,95.47,70.97,44.92,65.75,64.35,64.74,92.12,65.28,48.02,53.82,7.86,90.04,55.27,72.55,54.39,71.83,7.95,56.39,38.70,21.66,26.78,70.51,16.86,7.43,57.91,24.72,57.57,8.48,99.57,55.15,9.57,6.75,96.38,14.11,21.95,85.09,33.01,79.52,18.79
p27.5,32.72,80.67,88.31,38.34,35.65,59.10,27.86,11.24,51.13,35.18,4.93,66.87,21.38,68.20,94.20,6.33,36.66,80.87,2.88,71.24,12.09,87.02,23.03,11.55,98.77,92.32,71.88,72.60,68.53,4.79,45.42,93.85,88.91,53.13,62.00,72.23,44.28,64.19,55.59,43.94,91.74,86.86,62.40,77.05,71.80,92.80,85.08,16.10,4.08,8.96,83.22,10.23,34.98,32.16,23.90,69.09,82.96,49.20,18.99,69.01,4.20,7.99,20.22,84.85,90.35,59.98,79.23,88.70,22.30,57.53,11.33,42.88,39.16,43.98,4.11,56.36,50.24,44.82,29.99,55.55,35.94,37.86,28.51,24.40,8.17,26.96,74.26,55.00,39.55,37.88,15.75,3.14,27.53,79.88,18.48,56.95,44.22,8.46,26.57,90.53,26.69,40.56,52.98,82.50,73.06,72.87,36.63,33.54,46.50,96.99,81.93,26.14,39.75,84.52,6.50,51.44,72.96,59.77,13.03,80.31,38.77,43.92,20.53,99.73,88.00,96.60,28.05,82.14,49.88,91.05,54.48,55.77,52.06,9.44,67.63,59.53,4.27,21.24,55.26,91.00,18.65,86.48,61.05,7.74,58.81,15.10,17.42,42.64,54.83,26.57,66.81,65.76,9.93,73.14,84.36,22.48,85.54,21.57,9.14,40.01,0.81,97.57,39.84,61.68
p28,15.25,83.91,26.34,79.37,70.59,21.52,87.96,79.69,31.09,37.87,41.19,85.68,85.81,25.17,96.15,51.26,51.84,26.19,29.25,33.32,58.03,39.79,82.99,10.49,15.96,64.93,89.77,58.07,27.43,73.41,5.22,82.19,85.92,94.65,69.02,70.85,31.90,28.11,46.43,47.37,52.03,87.35,86.90,36.46,63.23,61.28,51.70,33.91,79.98,58.00,62.04,19.27,85.38,67.11,9.38,27.75,41.62,46.95,83.73,14.53,31.70,31.96,41.91,70.88,10.48,75.40,48.20,20.88,8.64,81.91,58.26,91.12,62.46,27.40,76.51,86.53,65.72,45.28,53.74,5.08,91.60,36.27,70.03,43.66,18.11,94.66,65.82,11.53,28.37,8.83,24.29,44.25,48.26,13.98,60.11,35.75,60.25,73.35,24.40,43.64,37.66,25.38,59.48,29.01,19.45,73.92,11.63,39.72,31.10,65.54,92.66,12.78,94.28,62.18,32.79,83.34,50.07,28.47,52.07,61.16,89.89,87.74,57.29,14.77,95.40,22.63,17.23,21.65,47.83,90.34,43.14,8.08,93.01,76.61,99.90,89.49,22.81,33.77,14.12,68.98,93.96,73.20,94.05,64.22,39.08,4.81,62.31,93.59,22.57,6.08,49.35,18.08,91.27,92.22,68.77,86.07,99.22,95.99,4.43,35.95,49.77,46.17,84.31,96.99
p29,18.46,45.21,0.58,59.99,53.61,95.51,75.16,79.95,96.53,46.33,66.14,41.59,35.82,78.47,63.50,96.73,5.21,21.96,43.04,67.71,26.96,75.19,95.46,17.74,19.10,24.75,22.59,97.04,94.18,6.93,20.11,57.91,90.57,13.31,36.94,67.20,43.97,91.72,29.12,59.80,96.80,85.63,7.21,73.48,67.78,23.44,52.89,16.42,23.01,23.39,31.16,68.93,40.36,41.24,73.53,75.23,64.42,42.39,93.17,76.37,52.46,55.92,27.13,83.04,87.02,59.76,73.86,80.38,41.54,51.86,47.15,62.43,70.94,75.94,89.13,58.39,9.18,92.56,53.37,76.47,7.30,22.35,46.64,33.66,56.06,58.00,8.42,88.21,8.99,14.78,84.32,7.95,70.62,16.05,62.76,91.03,55.30,53.92,95.53,55.52,28.51,30.97,99.45,76.03,20.31,93.69,7.64,62.26,6.56,87.67,7.64,25.59,15.20,9.83,11.44,48.47,50.14,69.00,23.50,39.22,68.16,1.90,9.53,36.71,9.36,99.33,9.63,23.46,69.47,6.47,94.82,5.45,92.68,2.29,92.20,35.75,56.35,30.77,88.22,28.25,71.33,87.76,20.95,47.77,11.72,60.33,56.97,95.69,81.70,40.28,54.96,97.82,89.00,34.57,54.59,46.25,78.66,17.53,26.60,96.68,59.21,32.21,99.29,22.10
p30,70.70,48.40,4.04,66.02,95.78,19.53,56.95,39.22,9.95,8.19,94.55,18.76,41.90,72.58,44.23,46.32,6.28,34.27,28.86,82.75,94.83,51.90,58.68,46.35,97.31,7.85,36.34,89.36,97.96,79.43,80.49,90.69,21.12,99.04,57.31,44.11,21.12,30.06,35.50,80.65,21.59,25.62,80.27,82.39,23.46,19.83,88.87,2.93,35.25,89.25,0.26,33.97,53.16,53.48,9.82,1.54,67.51,23.38,82.52,79.67,2.41,61.29,29.09,14.89,70.77,66.28,9.60,91.11,20.31,41.73,96.53,12.91,24.61,98.19,93.67,3.80,41.98,87.48,25.49,4.10,5.10,80.05,54.33,42.28,10.84,84.94,78.53,79.57,91.65,54.25,21.42,58.84,93.85,45.59,61.69,40.54,30.04,44.36,11.93,94.33,16.35,69.47,50.15,87.42,75.09,54.09,48.86,67.80,83.95,54.00,96.91,53.60,58.49,90.93,39.78,29.46,17.77,36.39,86.54,80.81,99.31,13.66,77.65,77.91,53.72,97.58,54.51,34.05,35.99,17.40,94.25,90.16,34.94,77.16,64.57,51.74,9.66,50.62,14.30,57.03,28.04,98.41,61.19,96.36,73.14,6.23,5.41,39.42,63.09,47.61,88.20,3.25,26.77,66.29,34.91,77.35,27.40,85.45,57.80,81.58,89.79,51.29,98.33,76.73
p31,85.42,13.97,17.64,60.28,21.40,93.52,61.08,52.20,80.79,48.23,3.31,23.16,68.52,80.18,54.37,56.74,5.21,69.43,40.50,21.51,26.48,12.79,18.98,85.87,19.13,43.51,34.25,22.92,62.62,45.91,58.61,14.15,34.36,33.39,20.04,36.22,63.69,33.28,17.67,46.20,74.93,8.13,76.84,71.69,85.55,4.08,13.26,21.55,90.93,10.82,36.14,24.86,7.19,81.75,41.95,3.62,85.49,76.47,40.89,4.28,1.56,51.29,78.72,95.08,26.04,95.43,68.60,32.72,53.08,25.08,33.33,97.03,72.10,59.67,22.21,49.76,59.85,35.36,75.52,13.97,26.63,0.33,18.74,97.13,20.54,39.56,79.57,41.67,23.68,54.74,18.90,29.84,39.14,92.15,33.61,13.83,41.35,21.93,21.51,70.91,20.42,43.41,0.60,6.85,24.45,33.64,49.18,80.76,78.99,95.74,5.01,90.46,11.59,72.73,13.75,89.36,48.21,53.16,69.10,66.61,24.69,3.52,8.43,0.29,87.44,34.14,7.15,25.75,52.48,89.35,41.03,43.61,90.02,77.75,88.05,90.20,73.26,77.80,16.58,84.63,58.94,92.73,99.49,55.18,10.38,8.08,21.66,51.45,39.54,39.88,34.33,92.18,19.32,78.53,45.33,62.94,15.16,18.45,8.62,33.30,10.89,54.74,91.65,13.66
p32,30.48,46.79,77.01,82.57,18.62,95.94,21.69,56.75,0.52,52.40,23.94,68.81,45.70,99.38,61.82,24.34,39.60,22.96,71.26,11.95,78.90,94.78,40.61,98.75,10.86,16.33,25.90,49.75,22.37,4.35,86.32,18.50,46.41,17.08,77.64,10.98,7.88,69.28,71.13,63.19,7.40,79.50,56.05,32.03,45.62,90.52,77.66,53.22,28.71,65.69,31.96,56.82,50.92,10.84,42.57,97.04,75.82,99.31,10.99,44.70,62.66,0.65,78.70,98.57,40.63,93.24,65.40,34.83,5.65,76.91,17.63,53.52,4.51,3.49,45.38,1.28,1.79,34.33,20.69,24.55,5.16,61.11,18.81,96.52,46.75,51.39,77.10,8.01,18.15,68.02,57.89,81.13,97.56,99.31,49.82,45.33,96.97,65.43,75.58,35.85,21.51,95.53,81.74,73.98,47.03,4.85,51.60,15.62,59.36,62.36,48.24,62.22,49.58,35.51,97.23,99.80,41.43,63.16,31.09,83.27,40.80,0.76,60.40,64.56,20.30,13.33,4.82,4.08,72.34,34.01,48.49,43.26,35.52,32.57,95.85,36.73,15.24,82.68,41.33,7.41,67.93,21.59,71.32,3.50,32.14,83.18,51.38,44.42,19.31,88.30,62.94,38.65,2.63,31.18,73.23,55.16,77.77,80.96,91.77,70.75,14.66,0.30,97.16,89.28
